timestamp,authentication,organizationId,tag,possibleSubListString,status,topId,isInPossibleSubList,isInInferredIds,isInferredIdInSubList,inferredIdsString,distanceVal,thresholdVal,isGooddistanceVal,worker,opThreshold,secondChanceTopId
20220406000144,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090144,,SEARCH_FACE_SUCCESS,41864f68-00ff-4d8f-9893-e66eac280665,0,0,0,,99.94688416,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000144,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090144,,SEARCH_FACE_SUCCESS,41864f68-00ff-4d8f-9893-e66eac280665,0,0,0,,99.33752441,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000144,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090144,,SEARCH_FACE_SUCCESS,41864f68-00ff-4d8f-9893-e66eac280665,0,0,0,,99.89659119,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000304,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090303,,SEARCH_FACE_SUCCESS,080b1212-f249-43a4-9750-e39ac4c15de7,0,0,0,,99.98257446,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000304,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090303,,SEARCH_FACE_SUCCESS,080b1212-f249-43a4-9750-e39ac4c15de7,0,0,0,,99.97220612,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000304,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090303,,SEARCH_FACE_SUCCESS,080b1212-f249-43a4-9750-e39ac4c15de7,0,0,0,,99.98383331,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406000304,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406090303,,SEARCH_FACE_SUCCESS,080b1212-f249-43a4-9750-e39ac4c15de7,0,0,0,,99.96138,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406001603,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406091603,,SEARCH_FACE_SUCCESS,f33e80dd-55c4-46c3-bb06-e747da29a045,0,0,0,,99.94230652,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406001604,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406091603,,SEARCH_FACE_SUCCESS,f33e80dd-55c4-46c3-bb06-e747da29a045,0,0,0,,99.81230927,99,1,worker-AWS_FACE_REKOGNITION,,null
20220406001611,authentication,6,kurosupo-register-1-1-faceAuthV4-20220406091610,,SEARCH_FACE_SUCCESS,a6ee0c66-ba22-4157-b931-cb52cc3a916e,0,0,0,,99.99736786,99,1,worker-AWS_FACE_REKOGNITION,,null
